label,text,char_count,word_count,clean_text,target
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm ,160,27,gent trying contact last weekend draw show å£ prize guaranteed call claim code k valid hr ppm,1
spam,FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP,157,31,freemsg record indicate may entitled pound accident claim free reply yes msg opt text stop,1
ham,What is important is that you prevent dehydration by giving her enough fluids,77,13,important prevent dehydration giving enough fluid,0
ham,Lol yes. But it will add some spice to your day.,48,11,lol yes add spice day,0
ham,HI ITS KATE CAN U GIVE ME A RING ASAP XXX,41,11,hi kate u give ring asap xxx,0
ham,Yes but I don't care cause I know its there!,44,10,yes dont care cause know,0
ham,"It wont b until 2.15 as trying 2 sort house out, is that ok?",60,14,wont b trying sort house ok,0
spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,146,19,private account statement show unredeemed sim point call identifier code expires,1
ham,Oh just getting even with u.... u?,34,7,oh getting even u u,0
ham,He's in lag. That's just the sad part but we keep in touch thanks to skype,74,16,he lag thats sad part keep touch thanks skype,0
ham,Me too! Have a lovely night xxx,31,7,lovely night xxx,0
ham,Dude im no longer a pisces. Im an aquarius now.,47,10,dude im longer pisces im aquarius,0
ham,How's ur paper?,15,3,hows ur paper,0
ham,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.,95,14,check maili mailed varma kept copy regarding membershiptake careinsha allah,0
ham,No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.,273,48,meant calculation ltgt unit ltgt school really expensive started practicing accent important decided year dental school youll nmde exam,0
ham,Did u download the fring app?,29,6,u download fring app,0
ham,Don know. I did't msg him recently.,35,7,know didt msg recently,0
spam,You have won a guaranteed 32000 award or maybe even å£1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???,163,31,guaranteed award maybe even å£ cash claim ur award call free legitimat efreefone number wat u think,1
spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply.",156,28,get lion england tone reply lionm mono lionp poly go original n best tone gbp network operator rate apply,1
spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,143,31,nokia tone ur mob every week txt nok st tone free get txtin tell ur friend ptone reply hl info,1
ham,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.,93,22,hi u want join sts later meeting five call u class,0
spam,"Win the newest åÒHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",139,26,win newest åòharry potter order phoenix book reply harry answer question chance first among reader,1
ham,When're you guys getting back? G said you were thinking about not staying for mcr,81,15,whenre guy getting back g said thinking staying mcr,0
ham,You are right though. I can't give you the space you want and need. This is really starting to become an issue. I was going to suggest setting a definite move out--if i'm still there-- after greece. But maybe you are ready and should do it now.,244,47,right though cant give space want need really starting become issue going suggest setting definite move outif im still greece maybe ready,0
ham,Where can download clear movies. Dvd copies.,44,7,download clear movie dvd copy,0
ham,This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...,133,30,ur face test ltgt select number tell ur face astrology waiting quick reply,0
ham,"you are sweet as well, princess. Please tell me your likes and dislikes in bed...",81,15,sweet well princess please tell like dislike bed,0
ham,"Ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too. ",105,22,ooh got im gon na start belly dancing moseley wed u want join cafe,0
ham,Indeed and by the way it was either or - not both !,51,13,indeed way either,0
ham,Cause I'm not freaky lol,24,5,cause im freaky lol,0
ham,Cool. Do you like swimming? I have a pool and jacuzzi at my house.,66,14,cool like swimming pool jacuzzi house,0
ham,Ok i msg u b4 i leave my house.,31,9,ok msg u b leave house,0
ham,"Cool, text me when you're ready",31,6,cool text youre ready,0
ham,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",105,19,yeah go bored depressed sittin waitin phone ring hope wind drop though scary,0
ham,\alright babe,13,2,alright babe,0
ham,Blank is Blank. But wat is blank? Lol,37,8,blank blank wat blank lol,0
ham,PICK UR FONE UP NOW U DUMB?,27,7,pick ur fone u dumb,0
ham,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.",109,24,sorry trouble u buy dad big small sat n sun thanx,0
spam,Ringtone Club: Gr8 new polys direct to your mobile every week !,63,12,ringtone club gr new polys direct mobile every week,1
ham,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day,143,34,realise busy guy im trying bother get exam outta way try car gr day,0
spam,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out,145,28,p per min call germany bt line p per min check planettalkinstantcom info t c text stop opt,1
ham,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,93,21,lol would mom would fit tell whole family crazy terrible,0
ham,ok....take care.umma to you too...,34,5,oktake careumma,0
ham,I dont know ask to my brother. Nothing problem some thing that. Just i told .,77,16,dont know ask brother nothing problem thing told,0
spam,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,155,28,tried contact offer new video phone anytime network min half price rental camcorder call reply delivery wed,1
ham,Send to someone else :-),24,5,send someone else,0
ham,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*",458,95,hey sweet wondering moment might come want send file someone wont go yahoo connection suck remember set page go download format disc could tell know way download big file download stuff directly internet help would great prey teasing kiss,0
ham,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",148,26,people see msg think iam addicted msging wrong bcoz dont know iam addicted sweet friend bslvyl,0
ham,Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night.,158,29,miserable dont tell u side effect birth control massive gut wrenching cramp first month didnt sleep last night,0
ham,But you dint in touch with me.,30,7,dint touch,0
spam,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,78,15,sorry missed call let talk time im,1
ham,Who's there say hi to our drugdealer,36,7,who say hi drugdealer,0
ham,Ok.. ÌÏ finishing soon?,23,4,ok ìï finishing soon,0
ham,I'm good. Have you registered to vote?,38,7,im good registered vote,0
ham,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting,134,25,anyway seriously hit youre back otherwise light armand always shit andor vomiting,0
ham,When should I come over?,24,5,come,0
ham,Today iZ Yellow rose day. If u love my frndship give me 1 misscall &amp; send this to ur frndZ &amp; See how many miss calls u get. If u get 6missed U marry ur Lover.,166,36,today iz yellow rose day u love frndship give misscall amp send ur frndz amp see many miss call u get u get missed u marry ur lover,0
ham,Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!,108,25,ah see lingo let know wot earth finished making,0
ham,Be sure to check your yahoo email. We sent photos yesterday,59,11,sure check yahoo email sent photo yesterday,0
ham,"Sorry, got a late start, we're on the way",41,9,sorry got late start way,0
ham,Can Ì_ send me a copy of da report?,35,9,ì send copy da report,0
ham,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel ,112,21,ha must walk everywhere take tram cousin said walk vic market hotel,0
ham,I have no money 4 steve mate! !,31,8,money steve mate,0
ham,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...,84,20,baaaaabe miss youuuuu go teach class,0
ham,"Yeah that's what I thought, lemme know if anything's goin on later",66,12,yeah thats thought lem know anythings goin later,0
